"ins","ins","i.n.s.","i n s"
"ins100","ins100"
"100","100"
"curcumins","curcumins"
"colour","colour"
"a","a"
"e","e"
"ins100(i)","ins100i"
"100(i)","100i"
"i","i"
"curcumin","curcumin"
"yellow","yellow"
"and","and"
"orange","orange"
"ins100(ii)","ins100ii"
"100(ii)","100ii"
"ii","ii"
"turmeric","turmeric"
"ins101","ins101"
"101","101"
"riboflavins","riboflavins"
"ins101(i)","ins101i"
"101(i)","101i"
"riboflavin","riboflavin"
"synthetic","synthetic"
"vitamin","vitamin"
"b2","b2"
"ins101(ii)","ins101ii"
"101(ii)","101ii"
"5","5"
"phosphate","phosphate"
"ins101(iii)","ins101iii"
"101(iii)","101iii"
"iii","iii"
"from","from"
"bacillus","bacillus"
"subtilis","subtilis"
"ins102","ins102"
"102","102"
"tartrazine","tartrazine"
"fda","fda"
"fd&c","fd&c"
"ins103","ins103"
"103","103"
"alkannin","alkannin"
"chrysoine","chrysoine"
"resorcinol","resorcinol"
"red","red"
"ins104","ins104"
"104","104"
"quinoline","quinoline"
"ws","ws"
"d&c","d&c"
"10","10"
"ins107","ins107"
"107","107"
"2g","2g"
"ins110","ins110"
"110","110"
"sunset","sunset"
"fcf","fcf"
"6","6"
"ins111","ins111"
"111","111"
"ggn","ggn"
"delisted","delisted"
"ins120","ins120"
"120","120"
"cochineal","cochineal"
"carmines","carmines"
"ins121","ins121"
"121","121"
"citrus","citrus"
"2","2"
"orcein","orcein"
"orchil","orchil"
"ins122","ins122"
"122","122"
"azorubine","azorubine"
"carmoisine","carmoisine"
"ext","ext"
"ins123","ins123"
"123","123"
"amaranth","amaranth"
"ins124","ins124"
"124","124"
"brilliant","brilliant"
"scarlet","scarlet"
"4r","4r"
"ponceau","ponceau"
"8","8"
"ins125","ins125"
"125","125"
"sx","sx"
"gn","gn"
"ins126","ins126"
"126","126"
"6r","6r"
"ins127","ins127"
"127","127"
"erythrosine","erythrosine"
"3","3"
"ins128","ins128"
"128","128"
"ins129","ins129"
"129","129"
"allura","allura"
"ac","ac"
"40","40"
"ins130","ins130"
"130","130"
"indanthrene","indanthrene"
"blue","blue"
"rs","rs"
"ins131","ins131"
"131","131"
"patent","patent"
"v","v"
"ins132","ins132"
"132","132"
"indigo","indigo"
"carmine","carmine"
"indigotine","indigotine"
"ins133","ins133"
"133","133"
"1","1"
"ins140","ins140"
"140","140"
"chlorophylls","chlorophylls"
"green","green"
"ins141","ins141"
"141","141"
"chlorophyllins","chlorophyllins"
"copper","copper"
"complexes","complexes"
"ins141(i)","ins141i"
"141(i)","141i"
"ins141(ii)","ins141ii"
"141(ii)","141ii"
"potassium","potassium"
"sodium","sodium"
"salts","salts"
"ins142","ins142"
"142","142"
"s","s"
"ins143","ins143"
"143","143"
"fast","fast"
"ins150","ins150"
"150","150"
"caramels","caramels"
"ins150a","ins150a"
"150a","150a"
"caramel","caramel"
"plain","plain"
"brown","brown"
"black","black"
"ins150b","ins150b"
"150b","150b"
"b","b"
"sulfite","sulfite"
"ins150c","ins150c"
"150c","150c"
"c","c"
"ammonia","ammonia"
"ins150d","ins150d"
"150d","150d"
"d","d"
"iv","iv"
"ins151","ins151"
"151","151"
"bn","bn"
"pn","pn"
"ins152","ins152"
"152","152"
"carbon","carbon"
"ins153","ins153"
"153","153"
"vegetable","vegetable"
"ins154","ins154"
"154","154"
"fk","fk"
"ins155","ins155"
"155","155"
"chocolate","chocolate"
"ht","ht"
"ins160","ins160"
"ins160a","ins160a"
"160","160"
"160a","160a"
"carotenes","carotenes"
"ins160a(i)","ins160ai"
"160a(i)","160ai"
"a(i)","ai"
"beta","beta"
"carotene","carotene"
"ins160a(ii)","ins160aii"
"160a(ii)","160aii"
"a(ii)","aii"
"ins160a(iii)","ins160aiii"
"160a(iii)","160aiii"
"a(iii)","aiii"
"blakeslea","blakeslea"
"trispora","trispora"
"ins160a(iv)","ins160aiv"
"160a(iv)","160aiv"
"a(iv)","aiv"
"algae","algae"
"ins160b","ins160b"
"160b","160b"
"annatto","annatto"
"extracts","extracts"
"ins160b(i)","ins160bi"
"160b(i)","160bi"
"b(i)","bi"
"bixin","bixin"
"based","based"
"ins160b(ii)","ins160bii"
"160b(ii)","160bii"
"b(ii)","bii"
"norbixin","norbixin"
"ins160c","ins160c"
"160c","160c"
"paprika","paprika"
"oleoresin","oleoresin"
"extract","extract"
"ins160d","ins160d"
"160d","160d"
"lycopenes","lycopenes"
"ins160d(i)","ins160di"
"160d(i)","160di"
"d(i)","di"
"lycopene","lycopene"
"ins160d(ii)","ins160dii"
"160d(ii)","160dii"
"d(ii)","dii"
"tomato","tomato"
"ins160d(iii)","ins160diii"
"160d(iii)","160diii"
"d(iii)","diii"
"ins160e","ins160e"
"160e","160e"
"apo","apo"
"carotenal","carotenal"
"30","30"
"ins160f","ins160f"
"160f","160f"
"f","f"
"carotenic","carotenic"
"acid","acid"
"ethyl","ethyl"
"ester","ester"
"ins161","ins161"
"ins161a","ins161a"
"161","161"
"161a","161a"
"flavoxanthin","flavoxanthin"
"ins161b","ins161b"
"161b","161b"
"luteins","luteins"
"ins161b(i)","ins161bi"
"161b(i)","161bi"
"lutein","lutein"
"tagetes","tagetes"
"erecta","erecta"
"ins161b(ii)","ins161bii"
"161b(ii)","161bii"
"ins161c","ins161c"
"161c","161c"
"kryptoxanthin","kryptoxanthin"
"ins161d","ins161d"
"161d","161d"
"rubixanthin","rubixanthin"
"ins161e","ins161e"
"161e","161e"
"violaxanthin","violaxanthin"
"ins161f","ins161f"
"161f","161f"
"rhodoxanthin","rhodoxanthin"
"ins161g","ins161g"
"161g","161g"
"g","g"
"canthaxanthin","canthaxanthin"
"ins161h","ins161h"
"161h","161h"
"h","h"
"zeaxanthins","zeaxanthins"
"ins161h(i)","ins161hi"
"161h(i)","161hi"
"h(i)","hi"
"zeaxanthin","zeaxanthin"
"ins161h(ii)","ins161hii"
"161h(ii)","161hii"
"h(ii)","hii"
"rich","rich"
"ins161i","ins161i"
"161i","161i"
"citranaxanthin","citranaxanthin"
"ins161j","ins161j"
"161j","161j"
"j","j"
"astaxanthin","astaxanthin"
"ins162","ins162"
"162","162"
"beet","beet"
"ins163","ins163"
"163","163"
"anthocyanins","anthocyanins"
"ins163(ii)","ins163ii"
"163(ii)","163ii"
"grape","grape"
"skin","skin"
"ins163(iii)","ins163iii"
"163(iii)","163iii"
"blackcurrant","blackcurrant"
"ins163(iv)","ins163iv"
"163(iv)","163iv"
"purple","purple"
"corn","corn"
"ins163(v)","ins163v"
"163(v)","163v"
"cabbage","cabbage"
"ins164","ins164"
"164","164"
"gardenia","gardenia"
"ins165","ins165"
"165","165"
"ins166","ins166"
"166","166"
"sandalwood","sandalwood"
"ins170","ins170"
"170","170"
"calcium","calcium"
"carbonates","carbonates"
"ins170(i)","ins170i"
"170(i)","170i"
"carbonate","carbonate"
"acidity","acidity"
"regulator","regulator"
"anticaking","anticaking"
"agent","agent"
"stabilizer","stabilizer"
"surface","surface"
"colourant","colourant"
"ins170(ii)","ins170ii"
"170(ii)","170ii"
"hydrogen","hydrogen"
"ins171","ins171"
"171","171"
"titanium","titanium"
"dioxide","dioxide"
"white","white"
"ins172","ins172"
"172","172"
"iron","iron"
"oxides","oxides"
"ins172(i)","ins172i"
"172(i)","172i"
"oxide","oxide"
"ins172(ii)","ins172ii"
"172(ii)","172ii"
"ins172(iii)","ins172iii"
"172(iii)","172iii"
"ins173","ins173"
"173","173"
"aluminium","aluminium"
"silver","silver"
"ins174","ins174"
"174","174"
"ins175","ins175"
"175","175"
"gold","gold"
"ins180","ins180"
"180","180"
"lithol","lithol"
"rubine","rubine"
"bk","bk"
"ins181","ins181"
"181","181"
"tannins","tannins"
"emulsifier","emulsifier"
"stabiliser","stabiliser"
"thickener","thickener"
"ins182","ins182"
"182","182"
"ins200","ins200"
"200","200"
"sorbic","sorbic"
"preservative","preservative"
"ins201","ins201"
"201","201"
"sorbate","sorbate"
"ins202","ins202"
"202","202"
"ins203","ins203"
"203","203"
"ins209","ins209"
"209","209"
"heptyl","heptyl"
"p","p"
"hydroxybenzoate","hydroxybenzoate"
"ins210","ins210"
"210","210"
"benzoic","benzoic"
"ins211","ins211"
"211","211"
"benzoate","benzoate"
"ins212","ins212"
"212","212"
"ins213","ins213"
"213","213"
"ins214","ins214"
"214","214"
"para","para"
"ins215","ins215"
"215","215"
"ins216","ins216"
"216","216"
"propylparaben","propylparaben"
"propyl","propyl"
"ins217","ins217"
"217","217"
"ins218","ins218"
"218","218"
"methylparaben","methylparaben"
"methyl","methyl"
"ins219","ins219"
"219","219"
"ins220","ins220"
"220","220"
"sulfur","sulfur"
"antioxidant","antioxidant"
"ins221","ins221"
"221","221"
"ins222","ins222"
"222","222"
"bisulfite","bisulfite"
"ins223","ins223"
"223","223"
"metabisulfite","metabisulfite"
"bleaching","bleaching"
"ins224","ins224"
"224","224"
"ins225","ins225"
"225","225"
"ins226","ins226"
"226","226"
"ins227","ins227"
"227","227"
"ins228","ins228"
"228","228"
"ins230","ins230"
"230","230"
"diphenyl","diphenyl"
"biphenyl","biphenyl"
"ins231","ins231"
"231","231"
"orthophenyl","orthophenyl"
"phenol","phenol"
"hydroxybiphenyl","hydroxybiphenyl"
"ins232","ins232"
"232","232"
"ins233","ins233"
"233","233"
"thiabendazole","thiabendazole"
"ins234","ins234"
"234","234"
"nisin","nisin"
"ins235","ins235"
"235","235"
"natamycin","natamycin"
"pimaricin","pimaricin"
"ins236","ins236"
"236","236"
"formic","formic"
"ins237","ins237"
"237","237"
"formate","formate"
"ins238","ins238"
"238","238"
"ins239","ins239"
"239","239"
"hexamethylene","hexamethylene"
"tetramine","tetramine"
"hexamine","hexamine"
"ins240","ins240"
"240","240"
"formaldehyde","formaldehyde"
"ins241","ins241"
"241","241"
"gum","gum"
"guaicum","guaicum"
"ins242","ins242"
"242","242"
"dimethyl","dimethyl"
"dicarbonate","dicarbonate"
"ins249","ins249"
"249","249"
"nitrite","nitrite"
"fixative","fixative"
"ins250","ins250"
"250","250"
"ins251","ins251"
"251","251"
"nitrate","nitrate"
"ins252","ins252"
"252","252"
"ins260","ins260"
"260","260"
"glacial","glacial"
"acetic","acetic"
"ins261","ins261"
"261","261"
"acetates","acetates"
"ins262","ins262"
"262","262"
"acetate","acetate"
"ins263","ins263"
"263","263"
"ins264","ins264"
"264","264"
"ammonium","ammonium"
"ins265","ins265"
"265","265"
"dehydroacetic","dehydroacetic"
"ins266","ins266"
"266","266"
"dehydroacetate","dehydroacetate"
"ins270","ins270"
"270","270"
"lactic","lactic"
"ins280","ins280"
"280","280"
"propionic","propionic"
"ins281","ins281"
"281","281"
"propionate","propionate"
"ins282","ins282"
"282","282"
"ins283","ins283"
"283","283"
"ins284","ins284"
"284","284"
"boric","boric"
"ins285","ins285"
"285","285"
"tetraborate","tetraborate"
"borax","borax"
"ins290","ins290"
"290","290"
"propellant","propellant"
"ins296","ins296"
"296","296"
"malic","malic"
"ins297","ins297"
"297","297"
"fumaric","fumaric"
"ins300","ins300"
"300","300"
"ascorbic","ascorbic"
"water","water"
"soluble","soluble"
"ins301","ins301"
"301","301"
"ascorbate","ascorbate"
"ins302","ins302"
"302","302"
"ins303","ins303"
"303","303"
"ins304","ins304"
"304","304"
"ascorbyl","ascorbyl"
"palmitate","palmitate"
"stearate","stearate"
"fat","fat"
"ins307","ins307"
"307","307"
"tocopherols","tocopherols"
"ins307a","ins307a"
"307a","307a"
"l","l"
"alpha","alpha"
"tocopherol","tocopherol"
"ins307b","ins307b"
"307b","307b"
"mixed","mixed"
"concentrate","concentrate"
"ins307c","ins307c"
"307c","307c"
"dl","dl"
"ins308","ins308"
"308","308"
"gamma","gamma"
"ins309","ins309"
"309","309"
"delta","delta"
"ins310","ins310"
"310","310"
"gallate","gallate"
"ins311","ins311"
"311","311"
"octyl","octyl"
"ins312","ins312"
"312","312"
"dodecyl","dodecyl"
"ins315","ins315"
"315","315"
"erythorbic","erythorbic"
"ins316","ins316"
"316","316"
"erythorbate","erythorbate"
"ins317","ins317"
"317","317"
"erythorbin","erythorbin"
"ins318","ins318"
"318","318"
"ins319","ins319"
"319","319"
"tert","tert"
"butylhydroquinone","butylhydroquinone"
"ins320","ins320"
"320","320"
"butylated","butylated"
"hydroxyanisole","hydroxyanisole"
"bha","bha"
"ins321","ins321"
"321","321"
"hydroxytoluene","hydroxytoluene"
"bht","bht"
"ins322","ins322"
"322","322"
"lecithins","lecithins"
"ins325","ins325"
"325","325"
"lactate","lactate"
"food","food"
"ins326","ins326"
"326","326"
"ins327","ins327"
"327","327"
"ins328","ins328"
"328","328"
"ins329","ins329"
"329","329"
"magnesium","magnesium"
"ins330","ins330"
"330","330"
"citric","citric"
"ins331","ins331"
"331","331"
"citrates","citrates"
"ins332","ins332"
"332","332"
"ins333","ins333"
"333","333"
"firming","firming"
"ins334","ins334"
"334","334"
"tartaric","tartaric"
"ins335","ins335"
"335","335"
"tartrates","tartrates"
"ins336","ins336"
"336","336"
"ins337","ins337"
"337","337"
"tartrate","tartrate"
"ins338","ins338"
"338","338"
"phosphoric","phosphoric"
"ins339","ins339"
"339","339"
"phosphates","phosphates"
"mineral","mineral"
"salt","salt"
"ins340","ins340"
"340","340"
"ins341","ins341"
"341","341"
"anti","anti"
"caking","caking"
"ins342","ins342"
"342","342"
"ins343","ins343"
"343","343"
"ins344","ins344"
"344","344"
"lecithin","lecithin"
"citrate","citrate"
"ins345","ins345"
"345","345"
"ins349","ins349"
"349","349"
"malate","malate"
"ins350","ins350"
"350","350"
"malates","malates"
"ins351","ins351"
"351","351"
"ins352","ins352"
"352","352"
"ins353","ins353"
"353","353"
"metatartaric","metatartaric"
"ins354","ins354"
"354","354"
"ins355","ins355"
"355","355"
"adipic","adipic"
"ins356","ins356"
"356","356"
"adipate","adipate"
"ins357","ins357"
"357","357"
"ins359","ins359"
"359","359"
"adipates","adipates"
"ins363","ins363"
"363","363"
"succinic","succinic"
"ins364","ins364"
"364","364"
"succinates","succinates"
"flavour","flavour"
"enhancer","enhancer"
"ins365","ins365"
"365","365"
"fumarate","fumarate"
"ins366","ins366"
"366","366"
"ins367","ins367"
"367","367"
"ins368","ins368"
"368","368"
"ins370","ins370"
"370","370"
"4","4"
"heptonolactone","heptonolactone"
"ins375","ins375"
"375","375"
"niacin","niacin"
"nicotinic","nicotinic"
"nicotinamide","nicotinamide"
"b3","b3"
"retention","retention"
"ins380","ins380"
"380","380"
"triammonium","triammonium"
"ins381","ins381"
"381","381"
"ferric","ferric"
"ferrocitrate","ferrocitrate"
"ins384","ins384"
"384","384"
"isopropyl","isopropyl"
"ins385","ins385"
"385","385"
"disodium","disodium"
"edta","edta"
"ins386","ins386"
"386","386"
"ethylenediaminetetraacetate","ethylenediaminetetraacetate"
"ins387","ins387"
"387","387"
"oxystearin","oxystearin"
"sequestrant","sequestrant"
"ins388","ins388"
"388","388"
"thiodipropionic","thiodipropionic"
"ins389","ins389"
"389","389"
"dilauryl","dilauryl"
"thiodipropionate","thiodipropionate"
